role,company,city,experience,education,salary,salary_lpa,skills,primary_skill,posted_days_ago,quarter,growth_rate,demand_score
ML Engineer,Paytm,Hyderabad,Fresher (0-1 yr),MCA,623310,6.2,PyTorch|TensorFlow|Python|Docker,PyTorch,164,Q1 2026,35,96
Data Scientist,Cognizant,Bangalore,Junior (1-3 yrs),BSc,830299,8.3,SQL|Deep Learning|Statistics,SQL,29,Q2 2026,28,95
ML Engineer,Accenture,Hyderabad,Junior (1-3 yrs),BSc,1066304,10.7,Python|TensorFlow|CI/CD|AWS,Python,146,Q1 2026,35,96
Data Engineer,CRED,Bangalore,Fresher (0-1 yr),BCA,540153,5.4,Python|SQL|Spark,Python,46,Q2 2026,30,93
Data Engineer,PhonePe,Hyderabad,Mid (3-5 yrs),BSc,1261442,12.6,AWS|Python|SQL|Airflow|ETL,AWS,123,Q1 2026,30,93
Business Analyst,Paytm,Noida,Fresher (0-1 yr),BCA,321370,3.2,Agile|Stakeholder Management|Tableau,Agile,67,Q2 2026,18,87
Business Analyst,Swiggy,Mumbai,Junior (1-3 yrs),B.Tech,753640,7.5,JIRA|Tableau|Excel,JIRA,27,Q2 2026,18,87
Data Analyst,CRED,Hyderabad,Mid (3-5 yrs),MSc,649478,6.5,Statistics|SQL|Python,Statistics,121,Q1 2026,22,92
AI/ML Researcher,Hexaware,Pune,Mid (3-5 yrs),BCA,1628286,16.3,Python|Generative AI|Deep Learning,Python,154,Q1 2026,42,98
Data Engineer,EXL Service,Bangalore,Mid (3-5 yrs),M.Tech,1204178,12.0,Hadoop|Spark|Python|AWS|Airflow,Hadoop,58,Q2 2026,30,93
AI/ML Researcher,EXL Service,Hyderabad,Junior (1-3 yrs),BCA,1307711,13.1,Mathematics|Research|PyTorch|Python|Deep Learning,Mathematics,34,Q2 2026,42,98
Data Scientist,Mphasis,Mumbai,Fresher (0-1 yr),BCA,503382,5.0,Scikit-learn|Statistics|Machine Learning|Python|TensorFlow,Scikit-learn,147,Q1 2026,28,95
Data Engineer,Google India,Hyderabad,Mid (3-5 yrs),BSc,1109193,11.1,Hadoop|Spark|Python|SQL,Hadoop,109,Q1 2026,30,93
QA Engineer,Mphasis,Bangalore,Junior (1-3 yrs),BCA,634586,6.3,API Testing|JIRA|Manual Testing|Python,API Testing,105,Q1 2026,10,72
Data Engineer,Cognizant,Pune,Junior (1-3 yrs),BCA,745143,7.5,AWS|Spark|ETL|Hadoop,AWS,180,Q4 2025,30,93
Python Developer,Mphasis,Bangalore,Mid (3-5 yrs),BSc,1083132,10.8,AWS|Git|Docker,AWS,41,Q2 2026,24,89
Business Analyst,Genpact,Hyderabad,Junior (1-3 yrs),BCA,661356,6.6,Stakeholder Management|Tableau|SQL|Excel|JIRA,Stakeholder Management,162,Q1 2026,18,87
Data Analyst,Tech Mahindra,Bangalore,Junior (1-3 yrs),BCA,603435,6.0,SQL|R|Power BI|Python,SQL,94,Q1 2026,22,92
Data Analyst,Google India,Bangalore,Senior (5+ yrs),M.Tech,1239317,12.4,Tableau|Statistics|Power BI|SQL|Excel,Tableau,163,Q1 2026,22,92
ML Engineer,Mphasis,Bangalore,Mid (3-5 yrs),MSc,1467350,14.7,Docker|TensorFlow|Python|CI/CD|AWS,Docker,157,Q1 2026,35,96
Business Analyst,IBM India,Bangalore,Mid (3-5 yrs),MCA,1061451,10.6,Power BI|JIRA|Tableau,Power BI,171,Q4 2025,18,87
Python Developer,CRED,Pune,Fresher (0-1 yr),BSc,373378,3.7,Django|SQL|FastAPI,Django,143,Q1 2026,24,89
AI/ML Researcher,WNS Global,Bangalore,Junior (1-3 yrs),BCA,1134211,11.3,Generative AI|Mathematics|PyTorch,Generative AI,1,Q2 2026,42,98
Data Scientist,HCL Technologies,Hyderabad,Junior (1-3 yrs),BCA,943749,9.4,PyTorch|Python|TensorFlow|Statistics,PyTorch,137,Q1 2026,28,95
BI Developer,Tiger Analytics,Pune,Junior (1-3 yrs),M.Tech,637481,6.4,Tableau|SQL|DAX|Azure|Excel,Tableau,117,Q1 2026,15,80
BI Developer,Razorpay,Noida,Fresher (0-1 yr),B.Tech,369217,3.7,SSRS|SQL|Azure|DAX,SSRS,105,Q1 2026,15,80
AI/ML Researcher,Infosys,Hyderabad,Mid (3-5 yrs),MBA,1602170,16.0,LLMs|Python|Generative AI,LLMs,172,Q4 2025,42,98
Product Analyst,Zomato,Bangalore,Senior (5+ yrs),M.Tech,1316777,13.2,Power BI|Python|A/B Testing|Mixpanel,Power BI,46,Q2 2026,20,85
AI/ML Researcher,Accenture,Mumbai,Junior (1-3 yrs),MCA,1047723,10.5,Research|Deep Learning|LLMs,Research,52,Q2 2026,42,98
Data Scientist,WNS Global,Noida,Mid (3-5 yrs),MCA,1004955,10.0,Machine Learning|Python|PyTorch,Machine Learning,169,Q1 2026,28,95
ML Engineer,Mphasis,Bangalore,Junior (1-3 yrs),B.Tech,985357,9.9,Kubernetes|Docker|PyTorch|MLOps,Kubernetes,147,Q1 2026,35,96
BI Developer,EXL Service,Hyderabad,Senior (5+ yrs),MBA,1201088,12.0,SQL|Excel|Azure|Power BI,SQL,134,Q1 2026,15,80
Product Analyst,Zomato,Hyderabad,Fresher (0-1 yr),MBA,395137,4.0,Mixpanel|Excel|Python|Google Analytics,Mixpanel,30,Q2 2026,20,85
QA Engineer,Tiger Analytics,Hyderabad,Fresher (0-1 yr),BSc,398938,4.0,Manual Testing|API Testing|Selenium,Manual Testing,83,Q1 2026,10,72
Python Developer,Cognizant,Noida,Junior (1-3 yrs),MCA,726665,7.3,AWS|SQL|FastAPI|Docker,AWS,47,Q2 2026,24,89
ML Engineer,Tiger Analytics,Bangalore,Mid (3-5 yrs),MBA,1522797,15.2,Docker|MLOps|TensorFlow|CI/CD,Docker,33,Q2 2026,35,96
AI/ML Researcher,WNS Global,Mumbai,Fresher (0-1 yr),MBA,816098,8.2,PyTorch|Generative AI|Research,PyTorch,50,Q2 2026,42,98
Business Analyst,Tech Mahindra,Chennai,Junior (1-3 yrs),B.Tech,507840,5.1,JIRA|Tableau|Excel,JIRA,161,Q1 2026,18,87
Data Engineer,Genpact,Mumbai,Junior (1-3 yrs),MBA,918756,9.2,Python|Airflow|ETL|SQL|Kafka,Python,55,Q2 2026,30,93
BI Developer,Mu Sigma,Hyderabad,Fresher (0-1 yr),BSc,440493,4.4,DAX|Azure|SSRS|Excel,DAX,88,Q1 2026,15,80
Data Analyst,Mphasis,Bangalore,Mid (3-5 yrs),BCA,745711,7.5,Statistics|R|Tableau,Statistics,44,Q2 2026,22,92
AI/ML Researcher,Amazon India,Bangalore,Mid (3-5 yrs),M.Tech,1922131,19.2,Generative AI|Python|Mathematics|LLMs|Deep Learning,Generative AI,161,Q1 2026,42,98
AI/ML Researcher,Mu Sigma,Noida,Mid (3-5 yrs),MBA,1545820,15.5,Research|PyTorch|Mathematics|Generative AI,Research,18,Q2 2026,42,98
Data Analyst,Amazon India,Bangalore,Junior (1-3 yrs),MBA,707093,7.1,Power BI|Statistics|Excel|R|Python,Power BI,92,Q1 2026,22,92
Product Analyst,Swiggy,Hyderabad,Junior (1-3 yrs),MCA,723341,7.2,Python|Excel|Mixpanel,Python,169,Q1 2026,20,85
Data Scientist,LatentView,Mumbai,Fresher (0-1 yr),MCA,611933,6.1,Machine Learning|Python|Scikit-learn|SQL,Machine Learning,140,Q1 2026,28,95
Data Analyst,CRED,Mumbai,Mid (3-5 yrs),B.Tech,783656,7.8,Power BI|Statistics|Python,Power BI,21,Q2 2026,22,92
QA Engineer,Deloitte,Gurgaon,Fresher (0-1 yr),BSc,375289,3.8,Manual Testing|SQL|Python|API Testing,Manual Testing,134,Q1 2026,10,72
BI Developer,Fractal Analytics,Bangalore,Junior (1-3 yrs),MBA,742610,7.4,Tableau|Excel|DAX|Azure,Tableau,34,Q2 2026,15,80
AI/ML Researcher,Cognizant,Mumbai,Junior (1-3 yrs),M.Tech,990505,9.9,Research|Mathematics|PyTorch|Generative AI|LLMs,Research,163,Q1 2026,42,98
QA Engineer,Microsoft India,Bangalore,Junior (1-3 yrs),MCA,458484,4.6,Manual Testing|JIRA|SQL,Manual Testing,105,Q1 2026,10,72
Data Scientist,Infosys,Bangalore,Junior (1-3 yrs),MSc,858060,8.6,PyTorch|Statistics|SQL,PyTorch,136,Q1 2026,28,95
Data Analyst,EXL Service,Gurgaon,Junior (1-3 yrs),B.Tech,589520,5.9,R|Power BI|Statistics|Python,R,1,Q2 2026,22,92
Data Engineer,Hexaware,Bangalore,Junior (1-3 yrs),M.Tech,1011910,10.1,Spark|Kafka|Hadoop,Spark,165,Q1 2026,30,93
Python Developer,Capgemini,Hyderabad,Fresher (0-1 yr),BSc,417022,4.2,SQL|FastAPI|Docker,SQL,136,Q1 2026,24,89
BI Developer,Mphasis,Hyderabad,Fresher (0-1 yr),MCA,427674,4.3,Power BI|SSRS|Tableau|Excel,Power BI,69,Q2 2026,15,80
Product Analyst,Amazon India,Hyderabad,Fresher (0-1 yr),B.Tech,442932,4.4,SQL|Python|Mixpanel|Power BI|Excel,SQL,32,Q2 2026,20,85
Product Analyst,IBM India,Mumbai,Fresher (0-1 yr),B.Tech,561310,5.6,Python|Power BI|Google Analytics|Excel,Python,127,Q1 2026,20,85
AI/ML Researcher,Genpact,Hyderabad,Fresher (0-1 yr),B.Tech,859414,8.6,Python|LLMs|Generative AI,Python,18,Q2 2026,42,98
Data Engineer,Hexaware,Bangalore,Mid (3-5 yrs),MSc,1330706,13.3,Python|ETL|Kafka|SQL,Python,98,Q1 2026,30,93
Product Analyst,LatentView,Hyderabad,Senior (5+ yrs),MCA,1287276,12.9,Excel|SQL|A/B Testing|Python,Excel,121,Q1 2026,20,85
Python Developer,Amazon India,Chennai,Fresher (0-1 yr),BSc,402851,4.0,Django|FastAPI|REST APIs,Django,163,Q1 2026,24,89
Data Scientist,TCS,Hyderabad,Senior (5+ yrs),MCA,1462158,14.6,SQL|PyTorch|Deep Learning,SQL,83,Q1 2026,28,95
Data Analyst,PhonePe,Noida,Fresher (0-1 yr),MSc,295382,3.0,SQL|R|Statistics,SQL,176,Q4 2025,22,92
ML Engineer,Microsoft India,Pune,Mid (3-5 yrs),MCA,1366815,13.7,CI/CD|Python|Kubernetes,CI/CD,158,Q1 2026,35,96
Python Developer,EXL Service,Chennai,Mid (3-5 yrs),B.Tech,918503,9.2,FastAPI|Docker|SQL|Python,FastAPI,32,Q2 2026,24,89
ML Engineer,Zomato,Bangalore,Mid (3-5 yrs),MSc,1669662,16.7,CI/CD|Kubernetes|TensorFlow|Python,CI/CD,176,Q4 2025,35,96
Python Developer,Capgemini,Mumbai,Senior (5+ yrs),M.Tech,1635194,16.4,AWS|SQL|FastAPI|Git|REST APIs,AWS,48,Q2 2026,24,89
Data Engineer,Amazon India,Pune,Mid (3-5 yrs),MBA,1035795,10.4,Spark|Python|AWS|SQL|Airflow,Spark,75,Q2 2026,30,93
BI Developer,Swiggy,Pune,Fresher (0-1 yr),BSc,422253,4.2,Tableau|SSRS|SQL|Power BI|DAX,Tableau,93,Q1 2026,15,80
Product Analyst,LatentView,Bangalore,Fresher (0-1 yr),BCA,582482,5.8,Python|A/B Testing|Google Analytics|Mixpanel,Python,156,Q1 2026,20,85
Data Scientist,Amazon India,Hyderabad,Fresher (0-1 yr),BCA,629479,6.3,Machine Learning|Python|Deep Learning|PyTorch|Scikit-learn,Machine Learning,51,Q2 2026,28,95
Business Analyst,TCS,Bangalore,Junior (1-3 yrs),MSc,620385,6.2,Stakeholder Management|JIRA|Agile|Power BI,Stakeholder Management,12,Q2 2026,18,87
Python Developer,Wipro,Pune,Fresher (0-1 yr),MCA,434516,4.3,AWS|Git|Python|REST APIs|Docker,AWS,92,Q1 2026,24,89
Data Engineer,Flipkart,Gurgaon,Mid (3-5 yrs),MSc,905948,9.1,Python|Hadoop|AWS|Spark|ETL,Python,18,Q2 2026,30,93
BI Developer,Accenture,Bangalore,Senior (5+ yrs),B.Tech,1477233,14.8,SSRS|SQL|Excel,SSRS,98,Q1 2026,15,80
Business Analyst,IBM India,Hyderabad,Junior (1-3 yrs),MCA,642395,6.4,Stakeholder Management|Agile|JIRA|SQL|Power BI,Stakeholder Management,147,Q1 2026,18,87
Python Developer,Fractal Analytics,Hyderabad,Junior (1-3 yrs),B.Tech,624976,6.2,FastAPI|SQL|REST APIs,FastAPI,129,Q1 2026,24,89
Python Developer,Paytm,Bangalore,Junior (1-3 yrs),MBA,798630,8.0,Docker|Git|FastAPI|REST APIs,Docker,162,Q1 2026,24,89
ML Engineer,Paytm,Mumbai,Fresher (0-1 yr),BCA,709652,7.1,AWS|CI/CD|Docker,AWS,65,Q2 2026,35,96
Python Developer,Google India,Hyderabad,Fresher (0-1 yr),B.Tech,450614,4.5,Python|SQL|Django|FastAPI,Python,1,Q2 2026,24,89
Python Developer,Mphasis,Bangalore,Junior (1-3 yrs),MSc,654852,6.5,SQL|AWS|Git|Docker|Django,SQL,24,Q2 2026,24,89
Data Analyst,Tech Mahindra,Hyderabad,Junior (1-3 yrs),BCA,592437,5.9,Python|Power BI|Tableau,Python,23,Q2 2026,22,92
Data Engineer,Accenture,Pune,Mid (3-5 yrs),BSc,1023603,10.2,ETL|SQL|Airflow|AWS,ETL,24,Q2 2026,30,93
Data Engineer,LatentView,Bangalore,Mid (3-5 yrs),M.Tech,1303818,13.0,Python|Hadoop|Spark,Python,89,Q1 2026,30,93
BI Developer,Mphasis,Hyderabad,Fresher (0-1 yr),MSc,417209,4.2,SSRS|Azure|Excel,SSRS,2,Q2 2026,15,80
QA Engineer,TCS,Pune,Junior (1-3 yrs),B.Tech,522138,5.2,API Testing|Git|Python|JIRA,API Testing,128,Q1 2026,10,72
QA Engineer,Fractal Analytics,Bangalore,Mid (3-5 yrs),M.Tech,765371,7.7,Git|API Testing|SQL|Selenium,Git,56,Q2 2026,10,72
ML Engineer,Tech Mahindra,Mumbai,Fresher (0-1 yr),B.Tech,696331,7.0,Python|Docker|MLOps|PyTorch,Python,21,Q2 2026,35,96
Python Developer,Tiger Analytics,Hyderabad,Fresher (0-1 yr),MCA,534454,5.3,REST APIs|AWS|Git|SQL,REST APIs,50,Q2 2026,24,89
Data Engineer,CRED,Kolkata,Fresher (0-1 yr),B.Tech,441369,4.4,Hadoop|Spark|Kafka|AWS,Hadoop,22,Q2 2026,30,93
Business Analyst,Microsoft India,Hyderabad,Junior (1-3 yrs),MBA,542448,5.4,Agile|Stakeholder Management|SQL|Power BI,Agile,43,Q2 2026,18,87
AI/ML Researcher,Genpact,Pune,Junior (1-3 yrs),MCA,876587,8.8,Python|Deep Learning|Research|LLMs,Python,39,Q2 2026,42,98
Product Analyst,HCL Technologies,Noida,Mid (3-5 yrs),MCA,908264,9.1,Python|Power BI|SQL|Excel|Google Analytics,Python,28,Q2 2026,20,85
Python Developer,Amazon India,Hyderabad,Fresher (0-1 yr),BCA,493004,4.9,REST APIs|SQL|Git,REST APIs,66,Q2 2026,24,89
Data Engineer,Tech Mahindra,Pune,Mid (3-5 yrs),BSc,1087393,10.9,Hadoop|AWS|Kafka,Hadoop,134,Q1 2026,30,93
Data Analyst,Deloitte,Bangalore,Fresher (0-1 yr),BSc,380100,3.8,Power BI|SQL|Excel|Tableau|Statistics,Power BI,99,Q1 2026,22,92
QA Engineer,Fractal Analytics,Pune,Junior (1-3 yrs),B.Tech,408215,4.1,JIRA|SQL|Manual Testing,JIRA,59,Q2 2026,10,72
AI/ML Researcher,Tiger Analytics,Hyderabad,Fresher (0-1 yr),MBA,641959,6.4,Mathematics|PyTorch|Research|Python,Mathematics,47,Q2 2026,42,98
Business Analyst,Zomato,Chennai,Senior (5+ yrs),B.Tech,998696,10.0,Excel|Agile|Power BI,Excel,85,Q1 2026,18,87
ML Engineer,Infosys,Mumbai,Junior (1-3 yrs),MBA,1022664,10.2,Docker|TensorFlow|CI/CD|PyTorch,Docker,15,Q2 2026,35,96
QA Engineer,Hexaware,Gurgaon,Senior (5+ yrs),B.Tech,887569,8.9,JIRA|Python|SQL|Git|API Testing,JIRA,168,Q1 2026,10,72
Business Analyst,CRED,Mumbai,Senior (5+ yrs),BCA,1231425,12.3,Stakeholder Management|Excel|JIRA|Tableau|Power BI,Stakeholder Management,39,Q2 2026,18,87
ML Engineer,Paytm,Bangalore,Junior (1-3 yrs),BCA,1180453,11.8,MLOps|Kubernetes|TensorFlow,MLOps,148,Q1 2026,35,96
Data Engineer,Mphasis,Noida,Fresher (0-1 yr),BSc,467187,4.7,Spark|Airflow|SQL|AWS|Kafka,Spark,81,Q1 2026,30,93
Data Analyst,LatentView,Pune,Fresher (0-1 yr),MBA,360824,3.6,Tableau|SQL|Power BI,Tableau,105,Q1 2026,22,92
AI/ML Researcher,LatentView,Bangalore,Senior (5+ yrs),BSc,2605234,26.1,LLMs|Deep Learning|Research|Python|Generative AI,LLMs,47,Q2 2026,42,98
Data Analyst,Paytm,Kolkata,Junior (1-3 yrs),BCA,452470,4.5,Python|Statistics|R|Tableau|Power BI,Python,6,Q2 2026,22,92
Python Developer,Razorpay,Mumbai,Fresher (0-1 yr),MSc,516781,5.2,AWS|Docker|Git|FastAPI|Django,AWS,99,Q1 2026,24,89
ML Engineer,Accenture,Bangalore,Fresher (0-1 yr),M.Tech,801383,8.0,Docker|MLOps|TensorFlow,Docker,171,Q4 2025,35,96
AI/ML Researcher,Wipro,Mumbai,Fresher (0-1 yr),M.Tech,929904,9.3,Generative AI|Research|LLMs|Mathematics|Python,Generative AI,109,Q1 2026,42,98
ML Engineer,LatentView,Bangalore,Mid (3-5 yrs),BSc,1254403,12.5,AWS|Docker|Kubernetes|CI/CD,AWS,152,Q1 2026,35,96
Data Engineer,Tiger Analytics,Pune,Mid (3-5 yrs),BCA,1164629,11.6,ETL|Airflow|Python,ETL,62,Q2 2026,30,93
Data Engineer,LatentView,Hyderabad,Fresher (0-1 yr),M.Tech,543116,5.4,Python|SQL|Spark|Airflow|AWS,Python,77,Q2 2026,30,93
Product Analyst,Cognizant,Bangalore,Junior (1-3 yrs),BCA,674820,6.7,Excel|A/B Testing|Python,Excel,118,Q1 2026,20,85
BI Developer,LatentView,Hyderabad,Junior (1-3 yrs),MCA,594290,5.9,SSRS|Excel|SQL|Tableau|Azure,SSRS,82,Q1 2026,15,80
ML Engineer,PhonePe,Bangalore,Senior (5+ yrs),MCA,2339197,23.4,TensorFlow|PyTorch|AWS|CI/CD,TensorFlow,31,Q2 2026,35,96
Data Analyst,Mu Sigma,Mumbai,Junior (1-3 yrs),BCA,584822,5.8,Excel|Tableau|Statistics|Python|R,Excel,140,Q1 2026,22,92
Python Developer,Amazon India,Mumbai,Junior (1-3 yrs),BSc,679404,6.8,FastAPI|Git|Django,FastAPI,45,Q2 2026,24,89
Product Analyst,Deloitte,Bangalore,Junior (1-3 yrs),MSc,769044,7.7,Power BI|Excel|Python|SQL,Power BI,33,Q2 2026,20,85
AI/ML Researcher,EXL Service,Bangalore,Junior (1-3 yrs),M.Tech,1117124,11.2,Mathematics|Generative AI|PyTorch|Python,Mathematics,155,Q1 2026,42,98
BI Developer,PhonePe,Bangalore,Mid (3-5 yrs),M.Tech,776186,7.8,Tableau|Power BI|Excel|SSRS,Tableau,62,Q2 2026,15,80
BI Developer,Mu Sigma,Bangalore,Junior (1-3 yrs),MSc,576449,5.8,Power BI|SQL|SSRS,Power BI,14,Q2 2026,15,80
QA Engineer,Mphasis,Bangalore,Fresher (0-1 yr),BCA,328263,3.3,JIRA|Git|Selenium|API Testing|Manual Testing,JIRA,106,Q1 2026,10,72
AI/ML Researcher,Deloitte,Bangalore,Mid (3-5 yrs),BSc,1485256,14.9,PyTorch|Mathematics|Research|Deep Learning|Generative AI,PyTorch,148,Q1 2026,42,98
Python Developer,EXL Service,Bangalore,Junior (1-3 yrs),MBA,661361,6.6,Django|Git|REST APIs|SQL,Django,16,Q2 2026,24,89
Data Scientist,Tiger Analytics,Bangalore,Senior (5+ yrs),MBA,1819203,18.2,Scikit-learn|TensorFlow|Machine Learning|PyTorch|Python,Scikit-learn,27,Q2 2026,28,95
Data Engineer,CRED,Chennai,Senior (5+ yrs),M.Tech,1198646,12.0,AWS|Airflow|ETL|Spark|Kafka,AWS,134,Q1 2026,30,93
Data Engineer,Tech Mahindra,Pune,Mid (3-5 yrs),M.Tech,962982,9.6,ETL|Airflow|SQL|AWS|Kafka,ETL,74,Q2 2026,30,93
AI/ML Researcher,Infosys,Bangalore,Junior (1-3 yrs),MSc,1391995,13.9,Research|Deep Learning|PyTorch,Research,106,Q1 2026,42,98
ML Engineer,Zomato,Bangalore,Mid (3-5 yrs),MCA,1413606,14.1,MLOps|Kubernetes|PyTorch,MLOps,65,Q2 2026,35,96
Product Analyst,CRED,Bangalore,Junior (1-3 yrs),MSc,777623,7.8,SQL|Excel|Power BI,SQL,87,Q1 2026,20,85
Python Developer,Infosys,Pune,Mid (3-5 yrs),MCA,785053,7.9,Docker|AWS|REST APIs|Git,Docker,9,Q2 2026,24,89
QA Engineer,Mu Sigma,Hyderabad,Junior (1-3 yrs),MSc,446909,4.5,JIRA|Manual Testing|SQL|Selenium|Git,JIRA,76,Q2 2026,10,72
Data Engineer,Zomato,Mumbai,Junior (1-3 yrs),MCA,699740,7.0,Kafka|Hadoop|Spark|Python|SQL,Kafka,71,Q2 2026,30,93
BI Developer,Google India,Bangalore,Mid (3-5 yrs),MSc,805032,8.1,Excel|Azure|Tableau,Excel,47,Q2 2026,15,80
Data Engineer,EXL Service,Noida,Junior (1-3 yrs),MSc,662496,6.6,Python|Spark|Airflow|ETL,Python,127,Q1 2026,30,93
BI Developer,WNS Global,Hyderabad,Senior (5+ yrs),MCA,1038943,10.4,DAX|SQL|Power BI|Azure|Excel,DAX,51,Q2 2026,15,80
AI/ML Researcher,Infosys,Hyderabad,Mid (3-5 yrs),BCA,1322890,13.2,Deep Learning|LLMs|Generative AI,Deep Learning,134,Q1 2026,42,98
Python Developer,EXL Service,Bangalore,Senior (5+ yrs),MSc,1272309,12.7,FastAPI|Django|Docker|Python|REST APIs,FastAPI,99,Q1 2026,24,89
Product Analyst,Infosys,Hyderabad,Junior (1-3 yrs),B.Tech,662585,6.6,Mixpanel|A/B Testing|SQL|Power BI|Python,Mixpanel,11,Q2 2026,20,85
Business Analyst,LatentView,Mumbai,Junior (1-3 yrs),BCA,584316,5.8,Stakeholder Management|Excel|Power BI|Tableau,Stakeholder Management,49,Q2 2026,18,87
Data Scientist,EXL Service,Pune,Junior (1-3 yrs),B.Tech,728037,7.3,Statistics|Machine Learning|Deep Learning|Python,Statistics,3,Q2 2026,28,95
AI/ML Researcher,HCL Technologies,Pune,Fresher (0-1 yr),MBA,719055,7.2,LLMs|Mathematics|Deep Learning|Research|Generative AI,LLMs,62,Q2 2026,42,98
Business Analyst,Hexaware,Bangalore,Junior (1-3 yrs),M.Tech,723101,7.2,Excel|SQL|JIRA,Excel,172,Q4 2025,18,87
Data Analyst,Wipro,Hyderabad,Junior (1-3 yrs),MCA,471612,4.7,Statistics|R|Excel|Power BI|Python,Statistics,85,Q1 2026,22,92
BI Developer,Fractal Analytics,Mumbai,Mid (3-5 yrs),B.Tech,956935,9.6,Excel|SQL|Power BI|Tableau,Excel,24,Q2 2026,15,80
ML Engineer,Tiger Analytics,Mumbai,Mid (3-5 yrs),M.Tech,1423857,14.2,MLOps|TensorFlow|Docker,MLOps,66,Q2 2026,35,96
AI/ML Researcher,Tiger Analytics,Hyderabad,Senior (5+ yrs),MBA,1858931,18.6,Generative AI|Mathematics|Python|PyTorch,Generative AI,121,Q1 2026,42,98
Business Analyst,Mphasis,Hyderabad,Fresher (0-1 yr),MSc,480561,4.8,Agile|Tableau|Excel|SQL,Agile,103,Q1 2026,18,87
BI Developer,Amazon India,Noida,Junior (1-3 yrs),B.Tech,623666,6.2,Excel|Tableau|SSRS|Azure,Excel,61,Q2 2026,15,80
QA Engineer,Razorpay,Pune,Junior (1-3 yrs),MBA,396232,4.0,Git|SQL|API Testing,Git,110,Q1 2026,10,72
Product Analyst,Genpact,Hyderabad,Junior (1-3 yrs),BSc,620413,6.2,Python|Excel|SQL,Python,146,Q1 2026,20,85
BI Developer,Paytm,Bangalore,Junior (1-3 yrs),BCA,729117,7.3,Azure|Tableau|SQL,Azure,78,Q2 2026,15,80
AI/ML Researcher,HCL Technologies,Bangalore,Mid (3-5 yrs),BCA,1828504,18.3,LLMs|Generative AI|Python|PyTorch,LLMs,55,Q2 2026,42,98
BI Developer,Hexaware,Gurgaon,Mid (3-5 yrs),MSc,704228,7.0,Azure|SQL|SSRS,Azure,115,Q1 2026,15,80
Data Engineer,PhonePe,Hyderabad,Junior (1-3 yrs),MCA,713504,7.1,Kafka|Spark|AWS|Hadoop|Airflow,Kafka,88,Q1 2026,30,93
AI/ML Researcher,Paytm,Pune,Senior (5+ yrs),M.Tech,1934544,19.3,Mathematics|LLMs|Python,Mathematics,94,Q1 2026,42,98
AI/ML Researcher,Infosys,Chennai,Mid (3-5 yrs),MSc,1341363,13.4,Python|LLMs|Mathematics|Deep Learning,Python,110,Q1 2026,42,98
Product Analyst,Amazon India,Hyderabad,Mid (3-5 yrs),M.Tech,960710,9.6,Google Analytics|A/B Testing|Python|Excel,Google Analytics,121,Q1 2026,20,85
Business Analyst,WNS Global,Pune,Senior (5+ yrs),MSc,1070843,10.7,Excel|Power BI|Tableau|Agile,Excel,2,Q2 2026,18,87
Data Analyst,LatentView,Bangalore,Senior (5+ yrs),BSc,1172397,11.7,Python|SQL|R|Excel,Python,116,Q1 2026,22,92
BI Developer,Flipkart,Mumbai,Mid (3-5 yrs),M.Tech,941537,9.4,Tableau|Excel|Azure|SSRS|SQL,Tableau,57,Q2 2026,15,80
Business Analyst,PhonePe,Pune,Junior (1-3 yrs),BSc,487055,4.9,Stakeholder Management|Agile|Power BI,Stakeholder Management,105,Q1 2026,18,87
AI/ML Researcher,TCS,Pune,Senior (5+ yrs),BCA,1852965,18.5,Research|LLMs|Python|Generative AI,Research,176,Q4 2025,42,98
Data Analyst,CRED,Mumbai,Senior (5+ yrs),MSc,1218711,12.2,Excel|Statistics|SQL|Tableau,Excel,62,Q2 2026,22,92
ML Engineer,Fractal Analytics,Mumbai,Fresher (0-1 yr),BSc,774191,7.7,Docker|CI/CD|Python|PyTorch|Kubernetes,Docker,120,Q1 2026,35,96
ML Engineer,PhonePe,Gurgaon,Mid (3-5 yrs),M.Tech,1245195,12.5,Docker|PyTorch|TensorFlow|Python,Docker,177,Q4 2025,35,96
AI/ML Researcher,LatentView,Mumbai,Mid (3-5 yrs),MBA,1630005,16.3,Research|Generative AI|PyTorch,Research,43,Q2 2026,42,98
Data Engineer,Deloitte,Pune,Mid (3-5 yrs),BCA,880197,8.8,AWS|Airflow|Python,AWS,32,Q2 2026,30,93
Data Engineer,Capgemini,Noida,Junior (1-3 yrs),BCA,703810,7.0,AWS|Hadoop|Spark|Python,AWS,28,Q2 2026,30,93
QA Engineer,LatentView,Gurgaon,Fresher (0-1 yr),M.Tech,330616,3.3,Git|Python|JIRA|SQL,Git,124,Q1 2026,10,72
Business Analyst,TCS,Hyderabad,Junior (1-3 yrs),B.Tech,565406,5.7,Agile|Excel|JIRA,Agile,105,Q1 2026,18,87
Product Analyst,Swiggy,Bangalore,Mid (3-5 yrs),MCA,931676,9.3,A/B Testing|Excel|Power BI,A/B Testing,13,Q2 2026,20,85
QA Engineer,HCL Technologies,Mumbai,Fresher (0-1 yr),M.Tech,344601,3.4,Manual Testing|JIRA|Git|Python,Manual Testing,97,Q1 2026,10,72
QA Engineer,Capgemini,Hyderabad,Fresher (0-1 yr),MSc,287060,2.9,Selenium|JIRA|Manual Testing|API Testing,Selenium,173,Q4 2025,10,72
